# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-141.571635,53,74.472997
-60.491375,21,74.492954
-37.193087,21,74.512591
-241.291024,100,74.602909
-39.271105,18,74.61935
-279.578387,99,75.774855
-242.251422,83,75.84893
-79.168322,29,75.875325
-71.284728,26,75.899451
-72.969933,21,75.919382
-64.748785,23,75.941081
-209.438042,89,76.0188
-2574.164626,1000,76.921457
-30.953539,20,76.940517
-197.815986,95,77.026219
-104.95631,38,77.060715
-91.19524,46,77.101411
-88.222151,32,77.130516
-71.507674,26,77.154441
-123.999435,41,77.191877
-207.007989,73,77.25781
-459.01971,185,77.420535
-42.375464,21,77.439943
-215.546068,86,77.517445
-33.00802,12,77.528764
-53.209284,16,77.54382
-56.807462,24,77.565667
-57.633541,14,77.578984
-780.588585,280,77.827013
-365.069221,139,77.954974
-2635.554314,1000,78.882345
-161.367983,76,78.952221
-43.264965,15,78.966614
-31.541012,15,78.98114
-145.281702,62,79.039393
-91.262812,49,79.086083
-49.477313,15,79.100165
-128.675511,40,79.135914
-40.708031,15,79.150481
-110.700777,37,79.185695
-292.482715,101,79.279561
-76.969785,28,79.306878
-214.963799,74,79.377287
-76.608742,24,79.40066
-151.651049,62,79.458507
-137.095039,69,79.524444
-2714.936108,1000,80.456291
-299.39876,111,80.560219
-106.748702,51,80.608653
-85.007383,33,80.639823
-49.967927,20,80.659598
-72.823501,31,80.68839
-40.907532,19,80.706582
-83.005685,25,80.729871
-27.529699,12,80.741674
-293.617945,102,80.835899
-71.439265,27,80.861957
-61.345347,19,80.879884
-92.117629,34,80.911495
-204.2238,81,80.987001
-69.084512,31,81.016767
-2697.829318,1000,81.963511
-59.763688,32,81.994105
-347.078993,131,82.112303
-233.268836,75,82.180661
-31.46785,10,82.190365
-157.037318,56,82.242406
-105.586192,44,82.284002
-207.269638,63,82.342225
-54.367294,21,82.362516
-359.714907,140,82.490332
-68.771159,29,82.516918
-140.912334,55,82.56695
-2623.778379,1000,83.487278
-425.500333,148,83.620911
-73.201322,28,83.646181
-111.289805,43,83.685877
-122.32952,43,83.725772
-62.735066,34,83.757401
-50.566984,19,83.775109
-141.718881,51,83.822073
-51.251233,25,83.845415
-296.776246,107,83.942119
-200.460988,95,84.028496
-146.33111,55,84.077426
-69.230636,25,84.100646
-2652.258087,1000,86.122151
-360.190415,112,86.228777
-40.927598,14,86.243252
-162.998702,63,86.305259
-2605.307296,1000,87.22755
-113.04109,64,87.28481
-28.443658,13,87.297225
-67.245943,23,87.318614
-396.880563,158,87.460492
-2341.617087,947,88.310401
-127.05282,43,88.349978
-124.024509,40,88.385729
-81.270622,25,88.408227
-171.372774,74,88.474262
-176.29188,62,88.531805
-71.096423,18,88.548927
-60.881983,21,88.567652
-99.393103,44,88.607474
-151.745367,70,88.67239
-38.753911,21,88.691809
-2567.01566,1000,89.609485
-244.661152,85,89.687019
-122.088599,56,89.737001
-98.847889,34,89.768271
-343.015958,100,89.858716
-22.567641,15,89.873193
-43.263775,14,89.886147
-2743.658525,1000,90.809226
-381.470524,134,90.929533
-347.592198,127,91.046247
-121.081865,51,91.092072
-58.103617,23,91.113226
-62.483489,27,91.138306
-108.64591,52,91.185442
-11.594491,16,91.201235
-60.458449,39,91.23749
-247.195937,103,91.329329
-94.443421,32,91.359622
-88.97092,39,91.39515
-2565.426012,1000,92.311096
-28.804655,26,92.335883
-95.721515,30,92.363456
-35.377997,14,92.377125
-78.307125,25,92.399551
-27.155262,12,92.41107
-101.022423,31,92.439926
-257.959938,90,92.521334
-101.942223,54,92.570839
-98.124198,39,92.605501
-164.027903,72,92.669274
-136.979556,67,92.731132
-70.33313,26,92.756135
-45.877963,33,92.786811
-96.134571,37,92.821344
-187.855383,59,92.874195
-453.017946,156,93.014165
-361.332815,122,93.123415
-304.880713,92,93.207571
-85.944625,33,93.237408
-214.00466,74,93.30448
-107.665125,55,93.354175
-197.898264,61,93.409355
-279.567051,125,93.519751
-17.658668,14,93.532546
-718.754932,258,93.765479
-104.144155,40,93.801979
-30.004967,13,93.814609
-69.71547,30,93.842628
-54.33557,23,93.863991
-145.221505,61,93.920731
-2598.286912,1000,95.026558
-144.403197,52,95.084952
-51.344622,28,95.116165
-267.130341,95,95.220209
-2717.225335,1000,97.279835
-114.078338,50,97.325228
-93.971217,46,97.367543
-114.081322,60,97.420675
-123.069592,59,97.473306
